timestamp,src_mac,dst_mac,in_port,out_port,packet_count,byte_count
1784202805.3568614,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,51,2742
1784202805.405724,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,51,2754
1784202805.4072654,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,52,2796
1784202805.4579737,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,52,2808
1784202805.4590392,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,53,2850
1784202805.5178137,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,53,2862
1784202805.5191212,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,54,2904
1784202805.5708945,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,54,2916
1784202805.5728703,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,55,2958
1784202805.640603,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,55,2970
1784202805.6432168,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,56,3012
1784202805.6751928,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,56,3024
1784202805.6771774,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,57,3066
1784202805.7228785,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,57,3078
1784202805.7243915,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,58,3120
1784202805.7671459,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,58,3132
1784202805.7687116,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,59,3174
1784202805.8019807,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,59,3186
1784202805.8029048,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,60,3228
1784202805.867014,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,60,3240
1784202805.8687792,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,61,3282
1784202805.9226742,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,61,3294
1784202805.9246366,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,62,3336
1784202805.9696288,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,62,3348
1784202805.9707022,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,63,3390
1784202806.0139582,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,63,3402
1784202806.0150604,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,64,3444
1784202806.0532272,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,64,3456
1784202806.054226,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,65,3498
1784202806.1055102,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,65,3510
1784202806.1062982,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,66,3552
1784202806.1584475,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,66,3564
1784202806.1598904,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,67,3606
1784202806.206378,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,67,3618
1784202806.207941,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,68,3660
1784202806.2668276,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,68,3672
1784202806.2684336,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,69,3714
1784202806.31087,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,69,3726
1784202806.3131151,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,70,3768
1784202806.3693473,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,70,3780
1784202806.370322,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,71,3822
1784202806.4212565,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,71,3834
1784202806.422165,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,72,3876
1784202806.479392,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,72,3888
1784202806.4813657,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,73,3930
1784202806.523169,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,73,3942
1784202806.5253825,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,74,3984
1784202806.5763788,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,74,3996
1784202806.5783603,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,75,4038
1784202806.628341,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,75,4050
1784202806.6302166,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,76,4092
1784202806.6711843,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,76,4104
1784202806.6734076,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,77,4146
1784202806.7112467,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,77,4158
1784202806.7130961,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,78,4200
1784202806.7664616,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,78,4212
1784202806.768266,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,79,4254
1784202806.81585,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,79,4266
1784202806.8176603,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,80,4308
1784202806.8920538,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,80,4320
1784202806.8941138,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,81,4362
1784202806.9435914,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,81,4374
1784202806.9453416,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,82,4416
1784202806.9987924,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,82,4428
1784202807.0008385,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,83,4470
1784202807.0416868,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,83,4482
1784202807.0427756,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,84,4524
1784202807.0990393,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,84,4536
1784202807.1009812,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,85,4578
1784202807.1343122,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,85,4590
1784202807.1361158,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,86,4632
1784202807.19966,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,86,4644
1784202807.201896,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,87,4686
1784202807.2526195,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,87,4698
1784202807.2548869,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,88,4740
1784202807.299376,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,88,4752
1784202807.3014078,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,89,4794
1784202807.3501518,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,89,4806
1784202807.3511605,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,90,4848
1784202807.3972793,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,90,4860
1784202807.3985415,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,91,4902
1784202807.4499588,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,91,4914
1784202807.4514527,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,92,4956
1784202807.515161,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,92,4968
1784202807.5177078,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,93,5010
1784202807.5712726,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,93,5022
1784202807.5729332,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,94,5064
1784202807.6230865,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,94,5076
1784202807.6255767,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,95,5118
1784202807.666096,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,95,5130
1784202807.6668856,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,96,5172
1784202807.706716,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,96,5184
1784202807.707884,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,97,5226
1784202807.7740252,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,97,5238
1784202807.7747986,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,98,5280
1784202807.837762,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,98,5292
1784202807.8386946,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,99,5334
1784202807.88096,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,100,5376
1784202807.8821392,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,99,5334
1784202807.8982425,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,100,5388
1784202807.8991258,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,101,5430
1784202807.9344091,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,101,5442
1784202807.9366863,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,102,5484
1784202807.9983838,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,102,5496
1784202808.0010107,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,103,5538
1784202808.0589604,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,103,5550
1784202808.061429,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,104,5592
1784202808.12282,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,104,5604
1784202808.1251671,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,105,5646
1784202808.178252,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,105,5658
1784202808.1797729,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,106,5700
1784202808.2227879,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,106,5712
1784202808.2242138,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,107,5754
1784202808.2658062,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,107,5766
1784202808.266904,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,108,5808
1784202808.3374977,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,108,5820
1784202808.3388476,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,109,5862
1784202808.3932486,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,109,5874
1784202808.3944187,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,110,5916
1784202808.4521072,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,110,5928
1784202808.4532013,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,111,5970
1784202808.5021393,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,111,5982
1784202808.5043015,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,112,6024
1784202808.5627453,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,112,6036
1784202808.564342,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,113,6078
1784202808.5980453,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,113,6090
1784202808.5993948,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,114,6132
1784202808.6387544,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,114,6144
1784202808.640942,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,115,6186
1784202808.6802113,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,115,6198
1784202808.6821346,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,116,6240
1784202808.738599,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,116,6252
1784202808.7403069,1e:de:87:fc:f1:c1,2e:6a:d8:c7:e8:5e,2,3,117,6294
1784202808.7838218,2e:6a:d8:c7:e8:5e,1e:de:87:fc:f1:c1,3,2,117,6306
