timestamp,src_mac,dst_mac,in_port,out_port,packet_count,byte_count
1783797697.908278,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,101,5430
1783797697.9632263,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,101,5442
1783797697.9654503,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,102,5484
1783797698.023586,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,102,5496
1783797698.0260081,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,103,5538
1783797698.0753791,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,103,5550
1783797698.0776398,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,104,5592
1783797698.135051,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,104,5604
1783797698.137106,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,105,5646
1783797698.1909528,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,105,5658
1783797698.1935542,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,106,5700
1783797698.2478926,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,106,5712
1783797698.2497382,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,107,5754
1783797698.3069,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,107,5766
1783797698.3094113,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,108,5808
1783797698.3703194,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,108,5820
1783797698.3724108,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,109,5862
1783797698.4225564,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,109,5874
1783797698.4247403,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,110,5916
1783797698.4983392,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,110,5928
1783797698.5005198,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,111,5970
1783797698.5597885,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,111,5982
1783797698.5617745,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,112,6024
1783797698.6189694,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,112,6036
1783797698.620983,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,113,6078
1783797698.6870675,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,113,6090
1783797698.6894474,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,114,6132
1783797698.7716386,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,114,6144
1783797698.7734685,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,115,6186
1783797698.8319697,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,115,6198
1783797698.8339915,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,116,6240
1783797698.8992538,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,116,6252
1783797698.901851,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,117,6294
1783797698.9555974,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,117,6306
1783797698.9582033,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,118,6348
1783797699.0347304,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,118,6360
1783797699.0371313,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,119,6402
1783797699.0746322,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,119,6414
1783797699.0766554,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,120,6456
1783797699.12732,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,120,6468
1783797699.129559,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,121,6510
1783797699.198876,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,121,6522
1783797699.2007935,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,122,6564
1783797699.2467597,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,122,6576
1783797699.2491157,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,123,6618
1783797699.3075905,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,123,6630
1783797699.3103452,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,124,6672
1783797699.372843,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,124,6684
1783797699.3750467,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,125,6726
1783797699.4106514,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,125,6738
1783797699.4128988,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,126,6780
1783797699.4827275,c2:b6:e7:bf:39:85,b6:0f:ae:f2:ea:20,3,2,126,6792
1783797699.4848456,b6:0f:ae:f2:ea:20,c2:b6:e7:bf:39:85,2,3,127,6834
